keys,vi,en,es,pt
AXE_FAIL,"🪓 BỊ BÚA TỬ THẦN BỔ TRÚNG! HÃY CANH NHỊP LƯỢN QUA!","🪓 HIT BY THE PENDULUM AXE! TIME YOUR SWERVE!","🪓 ¡GOLPEADO POR EL HACHA! ¡CALCULA TU PASO!","🪓 ATINGIDO PELO MACHADO! SINCRONIZE O DESVIO!"
REVIVE_BTN,"📺 HỒI SINH (XEM ADS)","📺 REVIVE (WATCH AD)","📺 REVIVIR (VER ANUNCIO)","📺 REVIVER (VER ANÚNCIO)"
RETRY_BTN,"🔄 CHƠI LẠI TỪ ĐẦU","🔄 RETRY","🔄 REINTENTAR","🔄 TENTAR NOVAMENTE"
SHOP_TITLE,"🛍️ CỬA HÀNG TRANG PHỤC HƯƠU 🦒","🛍️ GIRAFFE SKIN SHOP 🦒","🛍️ TIENDA DE SKINS 🦒","🛍️ LOJA DE SKINS 🦒"
SHOP_CLOSE,"✖️ ĐÓNG CỬA HÀNG","✖️ CLOSE SHOP","✖️ CERRAR TIENDA","✖️ FECHAR LOJA"
SKIN_EQUIPPED,"✅ ĐANG DÙNG","✅ EQUIPPED","✅ EQUIPADO","✅ EQUIPADO"
SKIN_EQUIP,"👉 TRANG BỊ","👉 EQUIP","👉 EQUIPAR","👉 EQUIPAR"
SKIN_BUY,"🔒 MUA: %d VÀNG","🔒 BUY: %d COINS","🔒 COMPRAR: %d MONEDAS","🔒 COMPRAR: %d MOEDAS"
SKIN_1,"Hươu Đốm Cổ Điển","Classic Giraffe","Jirafa Clásica","Girafa Clássica"
SKIN_2,"Khủng Long Cyber Brachio","Cyber Dino Brachio","Dino Cyber Brachio","Dino Cyber Brachio"
SKIN_3,"Hồng Hạc Sang Chảnh","Goofy Flamingo","Flamenco Elegante","Flamingo Elegante"
SKIN_4,"Vua Hươu Hoàng Gia Mạ Vàng","King Golden Giraffe","Rey Jirafa Dorada","Rei Girafa Dourada"
PAUSE_TITLE,"⏸️ TẠM DỪNG GAME","⏸️ GAME PAUSED","⏸️ JUEGO PAUSADO","⏸️ JOGO PAUSADO"
RESUME_BTN,"▶️ TIẾP TỤC CHƠI","▶️ RESUME","▶️ REANUDAR","▶️ CONTINUAR"
HOME_BTN,"🏠 VỀ TRANG CHỦ","🏠 MAIN MENU","🏠 MENÚ PRINCIPAL","🏠 MENU PRINCIPAL"
BTN_LEFT,"⬅️","⬅️","⬅️","⬅️"
BTN_RIGHT,"➡️","➡️","➡️","➡️"
BTN_STRETCH,"🦒 VƯƠN CỔ","🦒 STRETCH","🦒 ESTIRAR","🦒 ESTICAR"
TAP_TO_START,"👆 CHẠM BẤT KỲ ĐÂU ĐỂ CHẠY 👆","👆 TAP ANYWHERE TO PLAY 👆","👆 TOCA PARA JUGAR 👆","👆 TOQUE PARA JOGAR 👆"
SHOP_BALANCE,"💰 VÀNG CỦA BẠN: %d","💰 YOUR COINS: %d","💰 TUS MONEDAS: %d","💰 SUAS MOEDAS: %d"
WIN_SHOP_BTN,"🛍️ CỬA HÀNG SKIN","🛍️ SKIN SHOP","🛍️ TIENDA","🛍️ LOJA"
